番号,追加日,モチーフ名,実機体数,機体名,縦(m),横(m),奥行(m),総尺(s),機体数(切上げ),季節,カテゴリー,人気,備考,,,,,,,,,,,
70,2025-05-09,雪降り,300,EMO,138,125,34,,300,winter,nature,,,,,,,,,,,,,
71,2025-05-09,柏餅,300,EMO,115,63,1,,300,spring,food,,,,,,,,,,,,,
72,2025-05-09,アイスキャンディー,400,EMO,120,127,49,,400,summer,food,,,,,,,,,,,,,
73,2025-05-09,ソフトクリーム,200,EMO,72,126,1,,200,summer,food,,,,,,,,,,,,,
74,2025-05-09,風鈴(3D),500,EMO,66,140,53,,500,summer,object,,,,,,,,,,,,,
75,2025-05-09,風鈴(2D),100,EMO,51,1001,3,,100,summer,object,,,,,,,,,,,,,
76,2025-05-09,UFO(3D),400,EMO,86,140,86,,400,none,vehicle,,,,,,,,,,,,,
77,2025-05-09,UFO(2D),300,EMO,75,128,2,,300,none,vehicle,,,,,,,,,,,,,
78,2025-05-09,蚊取り豚,400,EMO,92,87,88,,400,summer,object,,,,,,,,,,,,,
79,2025-05-09,精霊牛,100,EMO,90,63,1,,100,summer,object,,,,,,,,,,,,,
80,2025-05-09,精霊馬,100,EMO,97,50,1,,100,summer,object,,,,,,,,,,,,,
81,2025-05-09,ヘリコプター,500,EMO,137,122,93,,500,none,vehicle,,,,,,,,,,,,,
82,2025-05-09,カピバラ,300,EMO,102,87,4,,300,winter,animal,,,,,,,,,,,,,
83,2025-05-09,イヌ,300,EMO,89,97,3,,300,none,animal,,,,,,,,,,,,,
84,2025-05-09,ネコ,300,EMO,127,126,3,,300,none,animal,,,,,,,,,,,,,
85,2025-05-09,パンダ,400,EMO,145,123,3,,400,none,animal,,,,,,,,,,,,,
86,2025-05-09,アザラシ,200,EMO,122,79,3,,200,none,animal,,,,,,,,,,,,,
87,2025-05-09,サメ,200,EMO,128,59,3,,200,none,animal,,,,,,,,,,,,,
88,2025-05-09,カニ,300,EMO,123,72,5,,300,none,animal,,,,,,,,,,,,,
89,2025-05-09,亀,300,EMO,145,144,4,,300,none,animal,,,,,,,,,,,,,
90,2025-05-09,カワウソ,200,EMO,112,80,1,,200,none,animal,,,,,,,,,,,,,
91,2025-05-09,忍者,400,EMO,138,100,1,,400,none,character,,,,,,,,,,,,,
92,2025/6/26,狸,374,EMO,118,127,4,,400,none,animal,,,,,,,,,,,,,
93,2025/8/8,走る猪,543,EMO,107,175,18,,600,none,animal,,,,,,,,,,,,,
94,2025/8/8,走る犬,342,EMO,101,133,6,,400,none,animal,,,,,,,,,,,,,
95,2025/8/8,夕日,546,EMO,117,183,6,,600,none,nature,,,,,,,,,,,,,
96,2025/8/8,松江城,444,EMO,87,118,4,,500,,,,,,,,,,,,,,,
97,2025-08-08,出雲大社,444,EMO,72,140,6,,500,,,,,,,,,,,,,,,
98,2025-04-15,鶏,,EMO,,,,,,,,,,,,,,,,,,,,
99,2026-02-03,夏の大三角形,,EMO,,,,,,,,,,,,,,,,,,,,
100,2025-05-09,bridge,300,EMO,92,66,8,,300,none,building,,,,,,,,,,,,,
101,2025-05-09,Button_play,300,EMO,77,47,8,,300,none,text,,,,,,,,,,,,,
102,2025-05-09,ジンジャーマンクッキー,300,EMO,83,104,1,,300,winter,food,,,,,,,,,,,,,
103,2025-05-09,スカイツリー,300,EMO,20,149,20,,300,none,building,,,,,,,,,,,,,
104,2025-05-09,東京タワー,300,EMO,71,148,71,,300,none,building,,,,,,,,,,,,,
105,2025-05-09,福岡タワー,300,EMO,20,148,26,,300,none,building,,,,,,,,,,,,,
106,2025-05-09,通天閣,300,EMO,54,149,54,,300,none,building,,,,,,,,,,,,,
107,2025-05-09,神戸ポートタワー,300,EMO,38,149,38,,300,none,building,,,,,,,,,,,,,
108,2025-05-09,goodluck,300,EMO,87,72,4,,300,none,text,,,,,,,,,,,,,
109,2025-05-09,小槌,300,EMO,109,109,72,,300,spring,object,,,,,,,,,,,,,
110,2025-05-09,ハチ,300,EMO,75,45,64,,300,spring,insect,,,,,,,,,,,,,
111,2025-05-09,トンボ,400,EMO,123,67,94,,400,summer,insect,,,,,,,,,,,,,
112,2025-05-09,招き猫,300,EMO,98,138,6,,300,none,object,,,,,,,,,,,,,
113,2025-05-09,三色団子,200,EMO,37,107,64,,200,spring,food,,,,,,,,,,,,,
114,2025-05-09,蓮の花,500,EMO,136,85,106,,500,summer,plant,,,,,,,,,,,,,
115,2025-05-09,将棋,500,EMO,96,103,46,,500,none,object,,,,,,,,,,,,,
116,2025-05-09,カーネーション,300,EMO,110,142,3,,300,spring,plant,,,,,,,,,,,,,
117,2025-05-09,Best Wishes,300,EMO,141,62,1,,300,none,text,,,,,,,,,,,,,
118,2025-05-09,唐傘,400,EMO,102,89,84,,400,none,object,,,,,,,,,,,,,
119,2025-05-09,三猿,400,EMO,129,43,1,,400,none,animal,,,,,,,,,,,,,
120,2025-05-09,ケン玉,500,EMO,103,93,97,,500,none,object,,,,,,,,,,,,,
121,2025-05-09,茶,200,EMO,138,70,1,,200,none,food,,,,,,,,,,,,,
122,2025-05-09,Have A Nice Day,300,EMO,112,92,4,,300,none,text,,,,,,,,,,,,,
123,2025-05-19,京都タワー,300,EMO,50,148,47,,300,none,building,,,,,,,,,,,,,
124,2025-05-19,お神輿,500,EMO,140,170,110,76,500,summer,building,,,,,,,,,,,,,
125,2025-05-19,夏花火,500,EMO,134,160,90,30,500,summer,nature,,,,,,,,,,,,,
126,2025-05-19,ドラコン,500,EMO,79,116,41,89.5,500,none,animal,,,,,,,,,,,,,
127,2025-05-19,電車,500,EMO,121,118,116,37.4,500,none,vehicle,,,,,,,,,,,,,
128,2025-05-19,地球,500,EMO,88,165,127,18.8,500,none,nature,,,,,,,,,,,,,
129,2025-05-19,warning,400,EMO,134,105,1,13,400,none,text,,,,,,,,,,,,,
130,2025-05-19,ウイルス,400,EMO,73,166,1,16,400,none,character,,,,,,,,,,,,,
131,2025-05-19,スマートフォン指紋認証,400,EMO,142,77,1,20,400,none,object,,,,,,,,,,,,,
132,2025-05-19,セキュリティブロック,500,EMO,136,136,66,10,500,none,object,,,,,,,,,,,,,
133,2025-05-19,音符,500,EMO,68,178,62,26,500,none,symbol,,,,,,,,,,,,,
134,2025-05-19,風船,1000,EMO,177,213,59,20.1,1000,none,object,,,,,,,,,,,,,
135,2025-05-19,花火,1000,EMO,115,186,30,30.16,1000,summer,nature,,,,,,,,,,,,,
136,2025-05-19,クジラ,1000,EMO,177,159,67,55,1000,none,animal,,,,,,,,,,,,,
137,2025-05-19,蝶々,1000,EMO,108,182,93,26.7,1000,none,insect,,,,,,,,,,,,,
138,2025-05-19,SPECCIAL THANKS,1000,EMO,68,184,2.9,15.1,1000,none,text,,,,,,,,,,,,,
139,2025-05-19,ケーキ,1000,EMO,119,63,63,25,1000,none,food,,,,,,,,,,,,,
140,2025-05-19,薔薇,500,EMO,111,101,61,32.1,500,spring,plant,,,,,,,,,,,,,
141,2025-05-20,イルカ,1200,EMO,81,194,122,60.09,1200,none,animal,,,,,,,,,,,,,
142,2025-05-20,クジラ,1200,EMO,144,193,167,71.7,1200,none,animal,,,,,,,,,,,,,
143,2025-05-20,船,812,EMO,42,144,140,35,900,none,vehicle,,,,,,,,,,,,,
144,2025-05-20,魔法本,500,EMO,85,142,89,85.06,500,none,object,,,,,,,,,,,,,
145,2025-05-20,魔法少女,500,EMO,98,172,22,25.16,500,none,character,,,,,,,,,,,,,
146,2025-05-20,楽曲,500,EMO,93,180,2,25.133,500,none,character,,,,,,,,,,,,,
147,2025-05-20,馬,500,EMO,99,110,8.4,30.1,500,none,animal,,,,,,,,,,,,,
148,2025-05-20,螺旋,500,EMO,40,116,41,66.7,500,none,symbol,,,,,,,,,,,,,
149,2025-05-20,走る人,500,EMO,115,39,48,60.1,500,none,character,,,,,,,,,,,,,
150,2025-05-20,1-03_カウントダウン,500,EMO,55,30,10,4.5,500,none,text,,,,,,,,,,,,,
151,2025-05-20,1-10_カウントダウン,500,EMO,86,90,10,10,500,none,text,,,,,,,,,,,,,
152,2025-05-20,お城,500,EMO,120,110,25,20,500,none,building,,,,,,,,,,,,,
153,2025-05-20,カボチャ馬車,500,EMO,90,135,15,17.3,500,none,vehicle,,,,,,,,,,,,,
154,2025-05-20,足球,500,EMO,116,72,96,60.1,500,none,character,,,,,,,,,,,,,
155,2025-05-20,鳥,500,EMO,38,91,111,33.1,500,none,animal,,,,,,,,,,,,,
156,2025-05-20,だるま,400,EMO,93,76,23,40.16,400,winter,object,,,,,,,,,,,,,
157,2025-05-20,カウントダウン,400,EMO,111,111,4,16.7,400,winter,text,,,,,,,,,,,,,
158,2025-05-20,謹賀新年,400,EMO,47,153,1.2,20.16,400,winter,text,,,,,,,,,,,,,
159,2025-05-20,龍,400,EMO,99,150,4.4,40.13,400,none,animal,,,,,,,,,,,,,
160,2025-05-20,地球ハート,600,EMO,56,70,71,60.09,600,none,nature,,,,,,,,,,,,,
161,2025-05-20,ハート,600,EMO,67,69,50,30.133,600,none,symbol,,,,,,,,,,,,,
162,2025-05-20,青薔薇,600,EMO,116,103,80,32.16,600,none,plant,,,,,,,,,,,,,
163,2025-05-20,プレゼントBOX,600,EMO,110,100,100,20.1,600,none,object,,,,,,,,,,,,,
164,2025-05-20,クジラ,400,EMO,100,94,4.8,30.1,400,none,animal,,,,,,,,,,,,,
165,2025-05-20,亀,400,EMO,90,96,12,20.1,400,none,animal,,,,,,,,,,,,,
166,2025-05-20,ビール乾杯,400,EMO,82,86,7.2,30.1,400,summer,food,,,,,,,,,,,,,
167,2025-05-20,タイガー,400,EMO,68,71,5.6,20.03,400,none,animal,,,,,,,,,,,,,
168,2025-05-20,阿蘇山,600,EMO,90,325,28,300,600,none,nature,,,,,,,,,,,,,
169,2025-05-20,スピードメーター,445,EMO,96,99,6,15,500,none,object,,,,,,,,,,,,,
170,2025-05-21,銀河系,1000,EMO,145,246,196,19.03,1000,none,nature,,,,,,,,,,,,,
171,2025-05-21,地球,1000,EMO,160,170,169,72.73,1000,none,nature,,,,,,,,,,,,,
172,2025-05-21,折鶴,693,EMO,158,189,210,38.6,700,none,object,,,,,,,,,,,,,
173,2025-05-21,地球,1000,EMO,110,115,113,30.1,1000,none,nature,,,,,,,,,,,,,
174,2025-05-21,鳥,1000,EMO,80,181,100,32.8,1000,none,animal,,,,,,,,,,,,,
175,2025-05-21,海底世界,1000,EMO,154,310,14,20.066,1000,none,nature,,,,,,,,,,,,,
176,2025-05-21,時計,1000,EMO,146,99,85,30.1,1000,none,object,,,,,,,,,,,,,
177,2025-05-21,祭,1000,EMO,159,268,54,20.1,1000,none,nature,,,,,,,,,,,,,
178,2025-05-21,ビル群,1000,EMO,89,235,4,20.1,1000,none,building,,,,,,,,,,,,,
179,2025-05-21,船,1000,EMO,96,189,59,32,1000,none,vehicle,,,,,,,,,,,,,
180,2025-05-22,スイカ,200,EMO,32,41,3.1,10.16,200,summer,food,,,,,,,,,,,,,
181,2025-05-22,風鈴,200,EMO,44,22,11,13.06,200,summer,object,,,,,,,,,,,,,
182,2025-05-22,風景,200,EMO,45,64,6.3,15.1,200,summer,nature,,,,,,,,,,,,,
183,2025-05-22,カウントダウン,300,EMO,43,32,6.7,3.96,300,none,text,,,,,,,,,,,,,
184,2025-05-22,球体,300,EMO,30,30,30,30.1,300,none,symbol,,,,,,,,,,,,,
185,2025-05-22,列車,300,EMO,59,118,7.5,40.1,300,none,vehicle,,,,,,,,,,,,,
186,2025-05-22,富士山,300,EMO,34,125,43,40.06,300,none,nature,,,,,,,,,,,,,
187,2025-05-22,蝶々,300,EMO,46,55,29,40.06,300,none,insect,,,,,,,,,,,,,
188,2025-05-22,アイス,500,EMO,52,28,29,40.16,500,summer,food,,,,,,,,,,,,,
189,2025-05-22,星空,500,EMO,99,151,62,22,500,none,nature,,,,,,,,,,,,,
190,2025-05-22,地球,500,EMO,60,60,60,20.1,500,none,nature,,,,,,,,,,,,,
191,2025-05-22,水滴,500,EMO,44,127,130,27.03,500,none,nature,,,,,,,,,,,,,
192,2025-05-22,木,500,EMO,83,84,39,54,500,none,nature,,,,,,,,,,,,,
193,2025-05-22,鳥,500,EMO,76,92,67,12.6,500,none,animal,,,,,,,,,,,,,
194,2025-05-22,ロケット,500,EMO,86,86,37,35.3,500,none,vehicle,,,,,,,,,,,,,
195,2025-05-22,衛星,500,EMO,43,81,70,20.1,500,none,vehicle,,,,,,,,,,,,,
196,2025-05-22,太陽系,500,EMO,86,126,106,20.1,500,none,nature,,,,,,,,,,,,,
197,2025-05-22,宇宙,500,EMO,101,133,69,30.1,500,none,nature,,,,,,,,,,,,,
198,2025-05-22,パラシュート,400,EMO,93,76,33,40.1,400,none,object,,,,,,,,,,,,,
199,2025-05-22,桜,400,EMO,74,108,5.3,40.1,400,spring,plant,,,,,,,,,,,,,
200,2025-05-22,桃,400,EMO,48,55,34,31.7,400,summer,food,,,,,,,,,,,,,
201,2025-05-22,ぶどう,400,EMO,95,71,6.5,50.1,400,summer,food,,,,,,,,,,,,,
202,2025-05-22,ワイン,400,EMO,88,116,21,13.03,400,none,food,,,,,,,,,,,,,
203,2025-05-22,ワイン乾杯,210,EMO,63,58,21,17.3,300,none,food,,,,,,,,,,,,,
204,2025-05-23,地球,600,EMO,63,76,25,61.6,600,none,nature,,,,,,,,,,,,,
205,2025-05-23,雪,300,EMO,101,176,3.1,10,300,winter,nature,,,,,,,,,,,,,
206,2025-05-23,鈴,300,EMO,72,138,33,20,300,winter,object,,,,,,,,,,,,,
207,2025-05-23,プレゼント,300,EMO,111,68,6.2,17.1,300,winter,object,,,,,,,,,,,,,
208,2025-05-23,サンタクロース,300,EMO,86,100,4.7,15.06,300,winter,character,,,,,,,,,,,,,
209,2025-05-23,螺旋,300,EMO,121,102,103,29.7,300,winter,plant,,,,,,,,,,,,,
210,2025-05-23,雪だるま,300,EMO,91,93,6.1,17,300,winter,character,,,,,,,,,,,,,
211,2026-02-03,折り鶴,,,,,,,,,,,,,,,,,,,,,,
212,2026-02-03,笹と短冊,,,,,,,,,,,,,,,,,,,,,,
213,2026-02-03,天の川,,,,,,,,,,,,,,,,,,,,,,
214,2026-02-03,彦星と織姫,,,,,,,,,,,,,,,,,,,,,,
215,2026-02-03,流れ星,,,,,,,,,,,,,,,,,,,,,,
216,2026-02-03,祭り灯籠,,,,,,,,,,,,,,,,,,,,,,
217,2026-02-03,スカイランタン,,,,,,,,,,,,,,,,,,,,,,
218,2026-02-06,スター,200,EMO,54,58,40,20,200,none,object,,,,,,,,,,,,,
219,2026-02-06,妖精,294,EMO,77,65,39,33,300,none,character,,,,,,,,,,,,,
220,2025-05-23,富士山_春,500,EMO,70,240,22,20,500,spring,nature,,,,,,,,,,,,,
221,2025-05-23,富士山_夏,500,EMO,98,240,48,20,500,summer,nature,,,,,,,,,,,,,
222,2025-05-23,富士山_秋,500,EMO,90,240,25,20,500,autumn,nature,,,,,,,,,,,,,
223,2025-05-23,富士山_冬,500,EMO,100,240,6,20,500,winter,nature,,,,,,,,,,,,,
